Reichelt shopping list,,,,,,,
X7R-G0603 10N,2,0.05 ?,0.10 ?,,,,
X7R-G0603 100N,10,0.05 ?,0.50 ?,,,,
HEBL 21,1,0.22 ?,0.22 ?,power connector,,,
PSS 254/2G,2,0.05 ?,0.10 ?,,,,
PSS 254/3G,1,0.05 ?,0.05 ?,,,,
PSS 254/4G,1,0.05 ?,0.05 ?,,,,
PSS 254/6G,1,0.06 ?,0.06 ?,,,,
WIPPE 1801.1146,1,1.15 ?,1.15 ?,On-off-switch,,,
SMD-0603 100,6,0.08 ?,0.48 ?,,,,
SMD-0603 150,8,0.08 ?,0.64 ?,,,,
SMD-0603 1K,1,0.10 ?,0.10 ?,,,,
SMD-0603 10K,11,0.08 ?,0.88 ?,,,,
SMD-0603 43K,1,0.10 ?,0.10 ?,,,,
SMD-0603 68K,1,0.10 ?,0.10 ?,,,,
IRF 7424,1,0.99 ?,0.99 ?,P-fet,,,
SKS M3X16-50,1,1.10 ?,1.10 ?,,,,
LM 324 D SMD,1,0.17 ?,0.17 ?,Op-amp,,,
KKKGS 35,1,0.51 ?,0.51 ?,,,,
TLE 4905L,1,0.59 ?,0.59 ?,Hall-sensor,OPTIONAL,,
MAB 5W,1,0.35 ?,0.35 ?,DIN plug female,,,
MAS 50W,1,0.24 ?,0.24 ?,DIN plug male,,,
TASTER 9319,2,0.19 ?,0.38 ?,button switch for temperatur,,,
PSK 254/5W,1,0.05 ?,0.05 ?,,,,
SK M3,1,1.05 ?,1.05 ?,,,,
PSK 254/4W,1,0.05 ?,0.05 ?,,,,
MW GS60A12,0,16.90 ?,0.00 ?,12V6A power supply,,,
"SL 2X10G 2,54",1,0.09 ?,0.09 ?,break down pin header,,,
L-0805F 10µ,2,0.24 ?,0.48 ?,coil for op-amp and avcc,,,
BSS 123 SMD,4,0.04 ?,0.16 ?,,,,
RAD 105 1.000/25,1,0.10 ?,0.10 ?,C9 (1000u 25V),,,
RAD FC 100/10,1,0.10 ?,0.10 ?,c (100u 10V) at lowdrop out,,,
RAD FC 330/16,1,0.16 ?,0.16 ?,c (330u 16V) at lowdrop in,,,
MCP 1703A-5002,0,0.60 ?,0.00 ?,LowDrop to 5V - or - AliExpress,,,
WELLER RT 1,1,37.98 ?,37.98 ?,soldering iron tip,SEE FARNELL,,Alternative Farnell 8809860
SMD-LED 0805 GN,1,0.08 ?,0.08 ?,Green LED 0805,,,
ATMEGA 328P-AU,0,3.10 ?,0.00 ?,AtMega 328p,SEE ALIEXPRESS,,
"H05VK 1,0-10SW",1,0.34 ?,0.34 ?,1mm^2 wire - ground,,,
"H05VK 1,0-10RT",1,0.34 ?,0.34 ?,1mm^2 wire - 12V,,,
"H05VK 1,0-10BL",1,0.34 ?,0.34 ?,1mm^2 wire - thermo voltage,,,
LIYY 214-10,1,0.34 ?,0.34 ?,"2x0,14mm^2 - for hall sensor",,,
,,,,,,,
,,,,,,,
AliExpress,,,,,,,
LD-3361AG,0,0.70 ?,0.00 ?,mostly only packs of 10 available,,,
ATMEGA 328P-AU,0,1.48 ?,0.00 ?,mostly only packs of 10 available,,,
,,,,,,,
,,,,,,,
Porto Reichelt,,,0.80 ?,,,,
,,,,,,,
,,,,,,,
PCB inkl. Porto,,,1.97 ?,,,,
,,,,,,,
,,,,,,,
AliExpress Parts,1,,2.00 ?,,,,
,,,,,,,
,,,,,,,
TOTAL,,,55.27 ?,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Number of orders,7,,,,,,
